"MOVIE_originalName","MOVIE_genre","MOVIE_duration","WORK_name","WORK_creator","WORK_createDate","WORK_url","WORK_URI"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103'","FROZEN II - IL SEGRETO DI ARENDELLE","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
,,,"CETTO C'È, SENZADUBBIAMENTE",,,"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8_senzadubbiamente","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8_senzadubbiamente"
,,,"CETTO C'È, SENZADUBBIAMENTE",,,"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8_senzadubbiamente","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8_senzadubbiamente"
,,,"CETTO C'È, SENZADUBBIAMENTE",,,"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8_senzadubbiamente","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8_senzadubbiamente"
,,,"CETTO C'È, SENZADUBBIAMENTE",,,"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8_senzadubbiamente","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8_senzadubbiamente"
,,,"CETTO C'È, SENZADUBBIAMENTE",,,"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8_senzadubbiamente","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8_senzadubbiamente"
