"FAC_name","FAC_telephone","FAC_website","FAC_mail","FAC_hasParking","FAC_animalsAllowed","FAC_smokingAllowed","FAC_isIndoor","GEO_latitude","GEO_longitude","GEO_altitude","GEO_address","GEO_addressLocality","GEO_addressRegion","GEO_postalCode","GEO_locationText","TIMETABLE_Monday","TIMETABLE_Tuesday","TIMETABLE_Wednesday","TIMETABLE_Thursday","TIMETABLE_Friday","TIMETABLE_Saturday","TIMETABLE_Sunday"
"palazzo Trentini",,,"No email from google to avoid spamming",,,,,46.0700733,11.1230885,,"Via Giannantonio Manci, 27, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Palazzo%20Trentini",,,,,,,
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20%2C%20Mart%20-%20Museum%20of%20Modern%20and%20Contemporary%20Art%20of%20Rovereto%20-%20Rovereto","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
"Campana dei Caduti","0464 434412","http://www.fondazioneoperacampana.it/","No email from google to avoid spamming",,,,,45.8740344,11.0389451,,"Colle di, Via Miravalle, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20%2C%20Bell%20of%20the%20Fallen","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM"
"Albere Palace","0461 496914","https://www.cultura.trentino.it/Luoghi/Tutti-i-luoghi-della-cultura/Palazzi-storici/Palazzo-delle-Albere","No email from google to avoid spamming",,,,,46.0631566,11.1137877,,"Via Roberto da Sanseverino, 43, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Palazzo%20delle%20Albere%3B%20Via%20Roberto%20da%20Sanseverino","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
"Social Theatre","0461 213862","http://www.centrosantachiara.it/","No email from google to avoid spamming",,,,,46.06939060000001,11.1225996,,"Via Paolo Oss-Mazzurana, 19, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Theatre%20Auditorium",,,,,,,
"Associazione Arte Sella","0461 751251","http://www.artesella.it/","No email from google to avoid spamming",,,,,46.002944,11.3694783,,"Corso Ausugum, 55-57, 38051 Borgo Valsugana TN","WHAT IS IT??","WHAT IS IT???","38051","http://www.semanticweb.org/facilitiesEventsOntology/Borgo%20Valsugana%2C%20%2C%20Arte%20Sella",,,,,,,
"Palazzo Roccabruna","0461 887101","http://www.palazzoroccabruna.it/","No email from google to avoid spamming",,,,,46.066349,11.123444,,"Via Santa Trinità, 24, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Palazzo%20Roccabruna","Closed","Closed","Closed","5:00 – 10:00 PM","5:00 – 10:00 PM","5:00 – 10:00 PM","Closed"
"MAG Museo Alto Garda","0464 573869","http://www.museoaltogarda.it/","No email from google to avoid spamming",,,,,45.88436400000001,10.8423169,,"Piazza Cesare Battisti, 3/A, 38066 Riva del Garda TN","WHAT IS IT??","WHAT IS IT???","38066","http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda%2C%20%2C%20Mag%20Alto%20Garda%20museum%20","Closed","Closed","Closed","Closed","2:00 – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
"Buonconsiglio Castle Museum","0461 233770","http://www.buonconsiglio.it/","No email from google to avoid spamming",,,,,46.07154999999999,11.126608,,"Via Bernardo Clesio, 5, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Buonconsiglio%20Castle","Closed","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM"
"Palazzo Roccabruna","0461 887101","http://www.palazzoroccabruna.it/","No email from google to avoid spamming",,,,,46.066349,11.123444,,"Via Santa Trinità, 24, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Palazzo%20Roccabruna%3B%20Via%20Santa%20Trinit%C3%A0%2C%2044","Closed","Closed","Closed","5:00 – 10:00 PM","5:00 – 10:00 PM","5:00 – 10:00 PM","Closed"
,,,,,,,,46.1925658,11.1618684,,"38010 Faedo, Province of Trento","WHAT IS IT??","WHAT IS IT???","38010","http://www.semanticweb.org/facilitiesEventsOntology/Faedo",,,,,,,
"Albere Palace","0461 496914","https://www.cultura.trentino.it/Luoghi/Tutti-i-luoghi-della-cultura/Palazzi-storici/Palazzo-delle-Albere","No email from google to avoid spamming",,,,,46.0631566,11.1137877,,"Via Roberto da Sanseverino, 43, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Palazzo%20delle%20Albere","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
,,,,,,,,46.4767277,11.7703015,,"38032 Canazei, Province of Trento","WHAT IS IT??","WHAT IS IT???","38032","http://www.semanticweb.org/facilitiesEventsOntology/Canazei",,,,,,,
,,,,,,,,45.81712659999999,10.9495574,,"38060 Brentonico, Province of Trento","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Brentonico",,,,,,,
