"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"Mart Membership","free","Appuntamento annuale riservato alle categorie Membership aventi diritto. Informazioni: membership@mart.tn.it.","mart.trento.it/agenda.jsp",,,,,,"12-11-19","12-11-19",,,,,,,
"Mente e cervello nel sogno ordinario e nel sogno lucido","free","Incontro della serie “Io, l’arte e il sogno”, organizzata in collaborazione con Dipartimento di Scienze Cognitive Unitn e Associazione URLA, a cura di Nicola De Pisapia. Prenotazioni: education@mart.tn.it.","mart.trento.it/agenda.jsp",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Area%20educazione",,"14-11-19","14-11-19","20:30","22:00",,,,,
"Mart Blabla Deutsch","Costo: € 5","Parlare tedesco tra le opere del museo con la mediatrice madrelingua Petra Scholer. Costo: € 5. Prenotazioni: education@mart.tn.it - 0464 454135/108.","mart.trento.it/agenda.jsp",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20sale%20espositive",,"15-11-19","15-11-19","18:00","19:30",,,,,
"Sarajevo - La strage dell'uomo tranquillo",,,,,,,,,,,,,,,,,
"Isadora Duncan","Costo: € 2","Visita guidata alla mostra Danzare la rivoluzione. Isadora Duncan e  le arti figurative in Italia tra Ottocento e avanguardia. Costo: € 2.  Acquistabile il giorno stesso, dalle ore 14.00, in biglietteria. Info: education@mart.tn.it.","mart.trento.it/agenda.jsp",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Sale%20espositive",,"17-11-19","17-11-19","15:00","16:00",,,,,
"Trasformare il sogno in arte: la pratica del Dream Tending","free","Incontro della serie “Io, l’arte e il sogno”, organizzata in collaborazione con Dipartimento di Scienze Cognitive Unitn e Associazione URLA, a cura di Gabriele Penazzi. Prenotazioni: education@mart.tn.it.","mart.trento.it/agenda.jsp",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Area%20educazione",,"21-11-19","21-11-19","20:30","22:00",,,,,
"Isadora Duncan","Costo: € 2","Visita guidata alla mostra Danzare la rivoluzione. Isadora Duncan e  le arti figurative in Italia tra Ottocento e avanguardia. Costo: € 2.  Acquistabile il giorno stesso, dalle ore 14.00, in biglietteria. Info: education@mart.tn.it.","mart.trento.it/agenda.jsp",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Sale%20espositive",,"24-11-19","24-11-19","15:00","16:00",,,,,
"La notte dei Krampus a Pozza di Fassa","Gratis","Sabato 30 novembre grande appuntamento a Pozza di Fassa con la sfilata dei Krampus. Saranno ben 19 i gruppi mascherati che gireranno per il paese. Un vero e proprio 'raduno' di Krampus da tutte le Alpi.; Chi sono i Krampus? Ecco la leggenda; I Krampus sono dei diavoli travestiti, in lingua tedesca, che accompagnano la figura folcloristica di San Nicola da Bari nella tradizionale sfilata lungo le strade del paese.; Krampus a Pozza di Fassa, foto di Alessandro Paris; I Krampus sono uomini-caproni scatenati e molto inquietanti che si aggirano per le strade alla ricerca dei bambini 'cattivi'. I loro volti sono coperti da terrificanti maschere diaboliche; i loro abiti sono laceri, sporchi e consunti. I Krampus, vagando per le vie dei paesi, provocano rumori ottenuti da campanacci o corni, che li accompagnano nel tragitto che compiono, mentre colpiscono con frustate la gente.; Ecco il programma completo della giornata:; Ore 15.00 apertura dei chioschi lungo la via Meida; Ore 16.00 musica con dj in piazza del comune; Ore 18.00 inizio sfilata; Ore 19.00 apertura cucine presso il tendone e afterparty con Dj Matthew B.","http://www.trentotoday.it/eventi/krampus-fassa-mercatini-natale-2019.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Strada%20de%20Meida%3B%20Pozza%20di%20Fassa",,"30/11/2019","30/11/2019",,,,,,,
"Mauro Corona alle distillerie Marzadro","Gratis","Mauro Corona alle distillerie Marzadro per presentare il nuovo libro in anteprima, 'Il passo del vento', scritto a quattro mani con Matteo Righetto.; Un libro definito anche Sillabario alpino perché in una serie di parole selezionate dal vocabolario alpino e della sua personale esperienza di vita lo scrittore alpinista ci offre porte che si aprono sulla sua peculiare visione del mondo e della relazione tra l’uomo e la natura.; Un’occasione per seguire con l’ospite d’onore la visita guidata della distilleria, dagli alambicchi alle; bottaie e per parlare del suo ultimo libro. Mauro Corona (moderato dalla giornalista Adele Gerardi) si intratterrà dalle 19.00 in poi con gli estimatori della sua vis artistica e della grappa, un connubio che ben si addice al contesto della montagna, intesa da Mauro Corona più come categoria dello spirito che zona ambientale. All’ attivo del noto scrittore ci sono decine di raccolte di racconti ed altrettanti romanzi che gli hanno valso diversi premi letterari, tra cui il Cardo d'argento nel 2008 al Premio Itas del libro di montagna per Cani, camosci, cuculi (e un corvo), il Premio Bancarella 2011 per La fine del mondo storto, il Premio Mario Rigoni Stern 2014 per La voce degli uomini freddi ed il Premio Selezione Campiello; 2014.","http://www.trentotoday.it/eventi/mauro-corona-distillerie-marzadro.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Distilleria%20Marzadro%3B%20Strada%20Provinciale%2090%3B%20Isera",,"27/11/2019","27/11/2019","17",,,,,,
"I Krampus a Maurina in Val di Non","Prezzo non disponibile","Domenica 1 dicembre alle 16 a Maurina arrivano i Krampus Toatnroscht Tuifl Buchholz di Pochi di Salorno.; I Krampus sono dei diavoli travestiti, in lingua tedesca, che accompagnano la figura folcloristica di San Nicola da Bari nella tradizionale sfilata lungo le strade del paese.; I Krampus sono uomini-caproni scatenati e molto inquietanti che si aggirano per le strade alla ricerca dei bambini 'cattivi'. I loro volti sono coperti da terrificanti maschere diaboliche; i loro abiti sono laceri, sporchi e consunti. I Krampus, vagando per le vie dei paesi, provocano rumori ottenuti da campanacci o corni, che li accompagnano nel tragitto che compiono, mentre colpiscono con frustate la gente.","http://www.trentotoday.it/eventi/krampus-maurina-mercatini-natale-2019.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Maurina%3B%20Indirizzo%20non%20disponibile%3B%20Spormaggiore",,"01/12/2019","01/12/2019","16",,,,,,
