"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","SCIENCE_topic","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"La città di tutti","free","Laboratorio in occasione del trentennale della convenzione ONU sui Diritti dell'Infanzia e dell'Adolescenza. Partecipazione gratuita senza prenotazione. Dai 6 ai 14 anni. Info: education@mart.tn.it.","mart.trento.it/agenda.jsp",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse%2C%20Trento",,"20-11-19","20-11-19","16:00","18:00",,,,,
"Ai confini dell'Universo","€ 3 (oltre al biglietto d'ingresso)","​​​Sotto la cupola del planetario per osservare stelle, comete, galassie, pianeti e avvicinarsi alle meraviglie dell’Universo attraverso affascinanti ricostruzioni virtuali.; Sabato, domenica e festivi, ore 11.30, 14.30 e 17; Il planetario è un luogo che ha in sé un po’ di magia: lontanissimi e misteriosi soli, pianeti dalle delicate sfumature, il debole chiarore della Via Lattea che le luci sempre più numerose e intense delle grandi città stanno lentamente facendo scomparire dal cielo sono preziosamente custoditi in un firmamento virtuale. Un viaggio che parte dal cielo diurno per arrivare all’osservazione delle prime stelle e pianeti che appaiono nel cielo dopo il calar del Sole.; Attività per età 6+","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Ai-confini-dell'universo.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,,,"[]","[]","[]",,
"Attivita speciali in Maxi Ooh!","Vedi testo","All’interno dello spazio Maxi Ooh! la scoperta inizia dai sensi. Una parentesi di meraviglia, dove gli adulti partecipano allo stupore dei loro piccoli.; Oltre a trasformarsi in uno spazio di dialogo pedagogico per mamme e papà con figli da 0 e 5 anni grazie agli incontri 'Parliamo di bimbi', il Maxi Ooh! propone tante esperienze di visita per stupire e scoprire divertendosi.; Microattività; Da martedì a venerdì orari apertura museo; Tariffa compresa nel biglietto d’ingresso al museo​; OTTOBRE: toccare; NOVEMBRE: ascoltare; DICEMBRE: guardare; Demonstration; Sabato, domenica e festivi ore 10 e 18; OTTOBRE: il piccolo bruco mai sazio; NOVEMBRE: Con le orecchie di lupo; DICEMBRE: Chi c'è sulle tue mani?","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Attivita-speciali-in-Maxi-Ooh-ott-nov-dic-2019.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,,,"[]","[]","[]",,
"Cosmo cartoons","Compreso nel biglietto d'ingresso al museo","​L'essere umano ha sempre guardato allo spazio con curiosità e ammirazione, timore e desiderio di conquista e la cultura pop continua a raccontare attraverso storie e immagini questi fantascientifici sogni a occhi aperti. In 'Cosmo Cartoons. L’esplorazione dell’Universo tra scienza e cultura pop' un percorso fortemente immersivo racconta lo spazio con un attento equilibrio tra arte e scienza.; Inaugurazione sabato 20 luglio ore 18.; Il pubblico è invitato a interagire con installazioni interattive e multimediali, postazioni audio e angoli lettura tematici, fino ad arrivare in una vera e propria area giochi per tutte le età. La mostra sviluppa un allestimento con disegni e pubblicazioni originali, riproduzioni e ingrandimenti di molte opere che ci fanno vivere le storie parallele di scienza, tecnologia e arte nello spazio.; Scopri le visite guidate alla mostra","https://www.muse.it/it/Esplora/mostre-temporanee/Archivio/Pagine/Cosmo-cartoons-mostra-2019-2020.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,"21/07/2019","14/06/2020",,,"[]","[]","[]",,
"Il MUSEo nel cassetto...","compreso nel biglietto d'ingresso al museo","​Approfondimenti con l’esperto per conoscere e toccare reperti unici.; L'attività si svolge ai piani +1, +2 e +3 del museo e affronta i temi preistoria, geologia e biodiversità.","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Museo-nel-cassetto-giu-lug-ago.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,"11.30","15.00","['domenica']",,,,"daily"
"Museo con lo zainetto","tariffa € 5,00 (oltre al biglietto d'ingresso)","​​​​​​​Un'attività da veri esploratori per visitare il museo in maniera attiva e coinvolgente e imparare a osservare il mondo con lo sguardo da scienziato.; Un binocolo, un diario di viaggio, astuccio, matite colorate, metro e lente di ingrandimento, tutti racchiusi in uno simpatico zainetto... e l'esplorazione può cominciare!; L’attività “Museo con lo zainetto” propone alle famiglie con bambini da 6 a 10 anni una visita attiva e coinvolgente delle sale espositive del MUSE.; All’interno dello zainetto i piccoli visitatori troveranno una guida viaggio, con enigmi e giochi, per esplorare il museo scoprendo i principali argomenti che caratterizzano i diversi piani, stimolando così fantasia, creatività e voglia di sperimentare.; Lo zainetto può essere richiesto alla biglietteria del MUSE durante gli orari di apertura del museo e dovrà essere restituito alla fine della visita. La durata massima dell'attività è di 3 ore.; I piccoli esploratori potranno conservare solo il diario di viaggio compilato.; La tariffa è di € 5,00, oltre al biglietto d'ingresso.","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Museo-con-lo-zainetto.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,,,"[]","[]","[]",,
"Talk Science alla Sfera NOAA","Compreso nel biglietto d'ingresso al museo","​​​​​​Esperimenti e dimostrazioni per dialogare di scienza attraverso l’exhibit Science on a Sphere.; Ottobre: OCEANI e CLIMA / LASCIA LA TUA IMPRONTA ECOLOGICA; Novembre: LA PLASTICA AL GIRO DI BOA / ALLUVIONI; Sabato, domenica e festivi: ore 10.30; 12.30; 14.00;​ 16.00 e 18.00; Dicembre: VIAGGI E FANTAVIAGGI: DALLA LUNA ALLE COLONIE SPAZIALI / IN VIAGGIO PER MARTE: COSA METTO IN VALIGIA?; Dal 1 al 20 dicembre, ​s​​abato, domenica e festivi: ore 10.30; 12.30; 14.00;​16.00 e 18.00; ​​Dal 21 dicembre al 6 gennaio, tutti i giorni di apertura con gli orari sopra​citati​; ​","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Talk-Science-alla-Sfera-NOAA-ott-nov-dic-2019.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,"18.00",,"['sabato', 'domenica']",,,,"daily"
"Talk Science alla Sfera NOAA","Compreso nel biglietto d'ingresso al museo","​​​​​​Esperimenti e dimostrazioni per dialogare di scienza attraverso l’exhibit Science on a Sphere.; Ottobre: OCEANI e CLIMA / LASCIA LA TUA IMPRONTA ECOLOGICA; Novembre: LA PLASTICA AL GIRO DI BOA / ALLUVIONI; Sabato, domenica e festivi: ore 10.30; 12.30; 14.00;​ 16.00 e 18.00; Dicembre: VIAGGI E FANTAVIAGGI: DALLA LUNA ALLE COLONIE SPAZIALI / IN VIAGGIO PER MARTE: COSA METTO IN VALIGIA?; Dal 1 al 20 dicembre, ​s​​abato, domenica e festivi: ore 10.30; 12.30; 14.00;​16.00 e 18.00; ​​Dal 21 dicembre al 6 gennaio, tutti i giorni di apertura con gli orari sopra​citati​; ​","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Talk-Science-alla-Sfera-NOAA-ott-nov-dic-2019.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,"16.00",,"['sabato', 'domenica']",,,,"daily"
"Talk Science alla Sfera NOAA","Compreso nel biglietto d'ingresso al museo","​​​​​​Esperimenti e dimostrazioni per dialogare di scienza attraverso l’exhibit Science on a Sphere.; Ottobre: OCEANI e CLIMA / LASCIA LA TUA IMPRONTA ECOLOGICA; Novembre: LA PLASTICA AL GIRO DI BOA / ALLUVIONI; Sabato, domenica e festivi: ore 10.30; 12.30; 14.00;​ 16.00 e 18.00; Dicembre: VIAGGI E FANTAVIAGGI: DALLA LUNA ALLE COLONIE SPAZIALI / IN VIAGGIO PER MARTE: COSA METTO IN VALIGIA?; Dal 1 al 20 dicembre, ​s​​abato, domenica e festivi: ore 10.30; 12.30; 14.00;​16.00 e 18.00; ​​Dal 21 dicembre al 6 gennaio, tutti i giorni di apertura con gli orari sopra​citati​; ​","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Talk-Science-alla-Sfera-NOAA-ott-nov-dic-2019.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,"14.00",,"['sabato', 'domenica']",,,,"daily"
"Talk Science alla Sfera NOAA","Compreso nel biglietto d'ingresso al museo","​​​​​​Esperimenti e dimostrazioni per dialogare di scienza attraverso l’exhibit Science on a Sphere.; Ottobre: OCEANI e CLIMA / LASCIA LA TUA IMPRONTA ECOLOGICA; Novembre: LA PLASTICA AL GIRO DI BOA / ALLUVIONI; Sabato, domenica e festivi: ore 10.30; 12.30; 14.00;​ 16.00 e 18.00; Dicembre: VIAGGI E FANTAVIAGGI: DALLA LUNA ALLE COLONIE SPAZIALI / IN VIAGGIO PER MARTE: COSA METTO IN VALIGIA?; Dal 1 al 20 dicembre, ​s​​abato, domenica e festivi: ore 10.30; 12.30; 14.00;​16.00 e 18.00; ​​Dal 21 dicembre al 6 gennaio, tutti i giorni di apertura con gli orari sopra​citati​; ​","https://www.muse.it/it/Esplora/Eventi-Attivita/Archivio/Pagine/Talk-Science-alla-Sfera-NOAA-ott-nov-dic-2019.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,,,"10.30",,"['sabato', 'domenica']",,,,"daily"
