"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","SCREEN_salaNumber","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"Cineforum al Teatro San Marco","vedi sito web","Torna l'appuntamento con lo storico cineforum del Teatro San Marco. Sono 23 i titoli in programma, come di consueto nel doppio appuntamento delle 17.30 e delle 20.45. Confermate le collaborazioni con il Religion Today Filmfestival e con il Trento Film Festival, che il 3 dicembre porterà al San Marco 'In questo mondo', con ospite in sala la regista Anna Kauber. Da segnalare il mini-ciclo 'Omaggi', con proiezioni dedicate a Bruno Ganz, Agnès Varda e Federico Fellini.; Ecco tutti i film della rassegna; Between Two Seas; Martedì, 08 Ottobre; Life again; Martedì, 08 Ottobre; Der amerikanische Freund (L'amico americano); Martedì, 15 Ottobre; L'insulto; Martedì, 22 Ottobre; Cat people - Il bacio della pantera; Martedì, 29 Ottobre; Visages Villages; Martedì, 05 Novembre; BlacKkKlansman; Martedì, 12 Novembre; Storia di erbe fluttuanti; Martedì, 19 Novembre; La mia casa e i miei coinquilini; Martedì, 26 Novembre; La mia casa e i miei coinquilini; Martedì, 26 Novembre; Essi vivono; Martedì, 10 Dicembre; La truffa dei Logan; Martedì, 07 Gennaio 2020; Il bidone; Martedì, 21 Gennaio; Fiore gemello; Martedì, 14 Gennaio; Lontano da qui; Martedì, 28 Gennaio; L'invasione degli ultracorpi; Martedì, 11 Febbraio; La stanza delle meraviglie; Martedì, 18 Febbraio; Il filo nascosto; Martedì, 25 Febbraio","http://www.trentotoday.it/eventi/cineforum-san-marco-2019-2020.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20San%20Marco%3B%20Via%20San%20Bernardino",,"08-10-2019","25-02-2020","17:30:00","20:45:00",,,,,
"FuCinema: quattro grandi film ad ingresso libero","Gratis","Il cinema torna nella frazione Fucine di Ossana, Val di Sole, con la rassegna “Come mi vuoi, come mi voglio”, un omaggio alle libertà di essere.; Ingresso libero.; Venerdì 8 novembre ore 20.45; CUORI PURI; di Roberto De Paolis – Italia, 2017 (114 min.); Introduce: Oscar Andreis, FuCinema; Presentato al festival di Cannes 2017. Agnese e Stefano, due mondi agli antipodi a pochi metri di distanza. Lei devota ad una madre intransigente e ai precetti della parrocchia. Lui sottoposto alla dura legge della strada. Mentre tutto, attorno, cade a pezzi, i due ragazzi corrono inevitabilmente verso un incontro/scontro.; Venerdì 15 novembre ore 20.45; LA BICICLETTA VERDE; di Haifaa Al-Mansour – Arabia Saudita, 2012 (93 min.); Introduce: Non Una di Meno - Trento; Presentato al festival di Venezia 2012 dalla prima regista dell’Arabia Saudita. Wadjda è una bambina molto intelligente e piena di vita. Sogna disperatamente di avere una bicicletta per poter battere l’amico Abdullah in una gara. Ma la società considera le biciclette un pericolo per la virtù delle ragazzine…; Venerdì 22 novembre ore 20.45; MOONLIGHT; di Barry Jenkins – USA, 2016 (111 min.); Introduce: Arcigay del Trentino; Vincitore di tre premi Oscar. Il giovanissimo Chiron vive nei sobborghi di Miami, accerchiato da gang intrise di machismo e criminalità. Impossibile per lui manifestare la propria omosessualità, che custodisce come un segreto. Sarà costretto a cambiare, diventare un altro, ma come nascondere per sempre quello che si è?; Venerdì 29 novembre ore 20.45; AMERICAN LIFE; di Sam Mendes – USA, 2009 (98 min.); Introduce: Valeria Bigongiali, FuCinema; Dal premio Oscar Sam Mendes (con American Beauty), una commedia tenera e brillante. Burt e Verona, in attesa di una bambina, intraprendono un viaggio alla ricerca di un luogo dove crescere la loro famiglia e dove essere amanti e genitori a modo loro, lontano dai condizionamenti di chi li vorrebbe diversi.","http://www.trentotoday.it/eventi/fucinema-film-gratis-ossana.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Cinema%20Comunale%20di%20Ossana%3B%20Via%20Bartolomeo%20Bezzi%2C%2012%3B%20Ossana",,"08-11-2019","29-11-2019","20:45:00",,,,,,
"Lunedì Cinema Cineforum",,,"https://www.visittrentino.info/it/guida/eventi/lunedi-cinema-cineforum_e_544608?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=8&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Arco%2C%20Riva%20del%20Garda",,"14-10-2019","23-03-2020","21:00:00","23:00:00",,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","29-11-2019","29-11-2019","18:30:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","29-11-2019","29-11-2019","21:00:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","30-11-2019","30-11-2019","16:00:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","30-11-2019","30-11-2019","16:15:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","30-11-2019","30-11-2019","18:30:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","30-11-2019","30-11-2019","21:00:00",,,,,,
"FROZEN II - IL SEGRETO DI ARENDELLE","8,50 €","Ora che Arendelle e la sua famiglia vivono in armonia, Elsa non vorrebbe per nessun motivo turbare la quiete di entrambe, ma sente una voce, che nessun altro ode, che le mostra frammenti del suo passato e le promette risposte riguardo alla sua identità. Per seguire questo richiamo e trovare una spiegazione ai suoi poteri, decide di viaggiare attraverso la foresta incantata di cui le parlava il padre, nonostante questo significhi dover dominare gli spiriti dell’Aria, dell’Acqua, del Fuoco e della Terra. Anna la segue, determinata a proteggere la sorella, e naturalmente Kristoff, Sven e Olaf si uniscono all’impresa.","http://www.supercinemarovereto.it/","103'","inglese","True",,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","01-12-2019","01-12-2019","15:45:00",,,,,,
