"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","VISUAL_artMovement","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"WILDLIFE","compreso nel biglietto d'ingresso MUSE","​; La prima mostra italiana dello scultore tedesco Jürgen Lingl-Rebetez, che ritrae con una originale tecnica di intaglio specie animali tanto carismatiche quanto fragili.; Inaugurazione 14 giugno ore 18 con l'artista, letture tratte da Pinocchio a cura della lettrice Ester D’Amico e accompagnamento con violino a cura di Andrea Ferroni.; Più di 30 sculture sono raccolte in quattro nuclei tematici. Accanto al pantheon selvaggio dei Grandi Carnivori trovano spazio i gruppi delle specie artiche, di ambienti temperati, infine un angolo dove l'autore concede il suo tributo artistico e passionale al cavallo, un animale di sicuro non minacciato ma che l'uomo va lentamente 'dimenticando' dopo averlo reso un elemento cardine della sua storia.; La visita alla mostra si connota in primis come un'esperienza estetica ed emozionale, supportata dalla grandiosità delle opere esposte, ma le informazioni a corredo delle specie rappresentate permettono di approfondire anche lo stato di conservazione, il presente complesso e il futuro fosco di questi spettacolari compagni di viaggio.; Dietro l'eccellenza del risultato c'è la profonda conoscenza anatomica di Rebetez, che ha memorizzato e fatto propri i rapporti dimensionali, le proporzioni e le armonie tra corpi e crani, mandibole e mascelle, occhi e narici, e li ripropone sulla superficie scabra del legno aggredito dalla motosega.; L'artista; Jürgen Lingl-Rebetez è un artista tedesco, nato nel 1971 in Baviera; la passione per il disegno e la pittura dei più svariati soggetti (animali, persone e paesaggi), intensa in lui fin dall'infanzia, lo portò, all'età di 20 anni, alla prima esibizione dei suoi studi artistici di nudo presso una galleria d'arte di Dachau.; Successivamente si specializzò in scultura lignea grazie a un apprendistato presso il maestro Hans-Joachim Seitfudem, per poi trasferirsi in Svizzera nel 1996 e diventare un artista indipendente, incominciando a esplorare le potenzialità espressive della motosega. Oggi, le opere di Jürgen Lingl-Rebetez, poi trasferitosi in Francia dal 1999, sono esposte in collezioni pubbliche e private in tutta Europa, USA, Canada, Russia, Australia, Singapore e Hong Kong.","https://www.muse.it/it/Esplora/mostre-temporanee/Archivio/Pagine/Wildlife-mostra-Rebetez-2019-2020.aspx",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Muse",,"15-06-2019","12-01-2020",,,"[]","[]","[]",,
"Domenica 1 dicembre gratis nei musei","Gratis","Tornano le domeniche gratis al museo, promosse dal Ministero dei Beni Culturali.; Ogni prima settimana del mese si potrà entrare senza pagare il biglietto; per questo mese l'appuntamento è fissato a domenica 3 novembre.; In Trentino si potrà entrare in tutti i musei provinciali, i castelli, di proprietà della Provincia, ed altri musei pubblici, oltre al Museo Diocesano. Ecco l'elenco.; Musei gratis in Trentino; A Trento: Castello del Buonconsiglio, Le Gallerie di Piedicastello, MUSE – Museo delle Scienze, Museo dell'Aeronautica Gianni Caproni, Museo Diocesano Tridentino, Spazio Archeologico Sotterraneo del Sas, Galleria Civica di Trento, Museo Diocesano.; A Rovereto il MART, Museo di Arte Contemporanea, ed il Museo Civico. A San Michele all'Adige il Museo degli Usi e Costumi della Gente Trentina. In Val di Non il Museo Retico di Sanzeno. A Fiavè il Museo delle Palafitte. A Riva del Garda il MAG, Museo Alto Garda, riaperto per l'occasione sarà visitabile al prezzo ridotto di 2,5 euro.; I castelli: Castel Stenico, Castel Beseno, Castel Thun e Castel Caldes. Ultima domenica di apertura per Forte Cadine, la fortezza austroungarica alle porte di Trento.","http://www.trentotoday.it/eventi/musei-gratis-1-dicembre.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Castello%20del%20Buonconsiglio%3B%20Via%20Bernardo%20Clesio",,"01-12-2019","01-12-2019","00:00:00","23:59:00",,,,,
"Berlino 2019, a 30 anni dalla caduta del muro","Gratis","Una mostra alle Gallerie di Piedicastello per ricordare i 30 anni da un evento che ha cambiato la storia: la caduta del muro di Berlino.; Il progetto è del fotografo Tommaso Bonaventura, in collabroazione con la curatrice Elisa Del Prete.; La mostra propone il racconto del Begrüssungsgeld, il denaro di benvenuto che dal 1970 al dicembre 1989 i cittadini della DDR ricevevano quando entravano nella Germania Ovest per la prima volta. Questa vicenda offre uno spunto per interrogarsi su un cambiamento epocale a partire da un punto di osservazione che privilegia le storie private e familiari, restituendole attraverso un duplice racconto: fotografico e video.; La semplice domanda «Ricordi come hai speso il tuo Begrüssungsgeld?» posta a un campione di tedeschi della ex DDR di generazioni differenti, intervistati nel corso del 2018 e 2019, ha rappresentato il punto di partenza per un viaggio nella memoria, oggi ancora poco condivisa, di queste persone che hanno vissuto un cambiamento totale, sia da un punto di vista materiale, lavorativo, sociale ed economico, sia politico.; Se la caduta del muro di Berlino ha posto le basi per un nuovo assetto politico e geografico mondiale segnando la fine della Guerra Fredda, la riunificazione tra Germania Est e Germania Ovest rimane ancora oggi un fenomeno complesso e poco discusso nei suoi aspetti più profondi. Spesso risolto in modo semplicistico come il coronamento di uno scontato desiderio di libertà, il superamento del confine fisico che simbolicamente coincide con l’abbattimento del muro porta inevitabilmente con sé la necessità di superare anche un confine ideologico.; Il 9 novembre 1989 non cade soltanto il muro di Berlino ma cambia un intero paese: la parte che si ricongiunge alle sue origini subisce una inevitabile metamorfosi e svaniscono rapidamente un modo di vivere, di pensare, di comportarsi, di vestire, di spendere. In tempi brevissimi la Repubblica Democratica Tedesca è rimossa dall'immaginario e dalla memoria. Quasi 17 milioni di persone si trovano di colpo immerse in un nuovo stile di vita, dove non valgono più le regole apprese fino ad allora. La trasformazione è repentina. Nelle politiche governative e nella vita quotidiana delle persone si afferma il nuovo alfabeto dell'Ovest, i suoi colori, i suoi odori, le sue politiche economiche e sociali, e quelle che erano due comunità distinte si trovano a convivere.; Il racconto fotografico di Tommaso Bonaventura, intrecciandosi alla narrazione di queste biografie, si propone di restituire una Berlino contemporanea fatta di volti, luoghi e storie non scontati, rimasta simbolo di uno degli eventi più significativi della storia recente, ancora viva e presente nel tessuto cittadino, urbano e sociale. La ricerca si è infatti focalizzata su Berlino quale emblema di questo cambiamento, ma anche città in cui la presenza fisica e 'mentale' del muro, che ha segnato così fortemente l'esperienza delle persone, in qualche modo permane.","http://www.trentotoday.it/eventi/muro-berlino-30-anni-2019.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Le%20Gallerie%20Piedicastello%3B%20Via%20D%C3%B2s%20Trento",,"09-11-2019","09-02-2020","09:00:00","18:00:00",,,,,
"Un anno da Vaia, video installazione alle Gallerie","Gratis","Alle Gallerie di Piedicastello una video-mostra per ricordare ad un anno di distanza la Tampesta Vaia, accostandola ad un altro disastrio naturale: l'alluvione che colpì il capoluogo di Provincia nel 1966.; 'AD UN ANNO DA VAIA. Dall'alluvione del '66 al racconto sui social’ è realizzata dalla Fondazione Museo storico del Trentino e sarà visitabile per un mese presso le Gallerie di Piedicastello, a partire da sabato 26 ottobre 2019, giorno della commemorazione per Vaia a Trento.; L'installazione si compone di sei filmati. A sinistra quelli dedicati all'alluvione del 1966 e realizzati utilizzando immagini super 8. Ognuno dei tre video riguarda uno specifico tema: l'allagamento della città di Trento, la devastazione nelle Valli che di fatto pagarono il prezzo più alto in termini di vittime e distruzione, e 'il dopo' con la conta dei danni e il lavoro per ripristinare il territorio.; A destra i filmati su Vaia, la tempesta che colpì il Trentino e non solo tra il 29 e il 30 ottobre 2018. Questi tre video raccontano il momento dell'emergenza, la fase della ricostruzione e la narrazione andata in scena 'in tempo reale' sui social.","http://www.trentotoday.it/eventi/vaia-tempesta-mostra-anniversario.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Le%20Gallerie%20Piedicastello%3B%20Via%20D%C3%B2s%20Trento",,"26-10-2019","26-11-2019","09:00:00","18:00:00",,,,,
"Pellicole in mostra, come si filmava una volta","Gratis","Un viaggio nella storia fino a maggio 2020 in esposizione alle Gallerie di Piedicastello. Documenti catturati dalla cinepresa, un'azione che appartiene al passato. Forse non ancora al passato remoto, ma comunque prima dell'arrivo del digitale. Nell'era delle pellicole “riprendere” o essere “ripresi” è stata un'esperienza comune a molti. Esperienza e gesto che è alla “preistoria” di quello che oggi ripetiamo continuamente, usando lo smartphone.; I formati ridotti indicano le pellicole realizzate in ambito non professionale a partire dagli anni venti fino agli anni ottanta del Novecento. Un campo molto vasto di produzioni filmiche, che vanno dal cinema di famiglia per uso domestico al documentario. Dal punto di visto storico diventano preziosi strumenti per cogliere i cambiamenti dei riti sociali, i modelli di comportamento, le trasformazioni del territorio del secolo scorso. Le storie in formato ridotto incontrano così la “grande Storia”.; Le pellicole sono conservate dalla Fondazione Museo storico del Trentino nella sua Cineteca e questa esposizione vuole essere un invito a valorizzare un patrimonio, a renderlo fruibile per il pubblico. I Musei servono anche a questo. Le Gallerie a mettere in scena tutto ciò.; VISITE GUIDATE GRATUITE; domenica 29 settembre 2019, ore 15.30; domenica 27 ottobre 2019, ore 15.30; domenica 24 novembre 2019, ore 15.30; domenica 29 dicembre 2019, ore 15.30; ORARI; Da martedì a domenica, ore 9.00-18.00. Lunedì chiuso. Ingresso libero.","http://www.trentotoday.it/eventi/pellicola-gallerie-piedicastello.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Le%20Gallerie%20Piedicastello%3B%20Via%20D%C3%B2s%20Trento",,"05-07-2019","03-05-2020",,,,,,,
"Mercatini: c'è anche il percorso in città con la musica in cuffia","Gratis","Un percorso 'silente' attraverso i luoghi più suggestivi della Città del Natale. Per questa 26a edizione del Mercatino di Natale di Trento, Miscele d’Aria Factory propone: Canto Trento – ogni pietra un sentimento, un nuovo spettacolo musicale itinerante con ascolti in cuffia wireless dedicato alla città ed alla sua storia.; Un’esperienza musicale, sensoriale, emozionale e divertente, dove i protagonisti saranno i palazzi, le chiese, le strade e gli angoli più suggestivi del centro, che al passaggio del pubblico prendono vita fra narrazione, musica dal vivo e suoni.; Sono previste delle repliche dello spettacolo il 23 e 30 novembre, il 14, il 21, il 28 dicembre e il 4 gennaio alle 15 e alle 17.","http://www.trentotoday.it/eventi/percorso-cuffie-natale-trento.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Piazza%20del%20Duomo",,"23-11-2019","04-01-2020",,,,,,,
"Il Mondo di Leonardo, mostra a Palazzo delle Albere","Gratis","Fino al 23 Febbario 2020 sarà possibile ammirare questa grande mostra al Palazzo delle Albere, dedicata ad una delle più importanti menti dell'umanità.; Esperienze multimediali, ricostruzioni inedite e postazioni interattive invitano il pubblico a interagire in prima persona con le macchine, le opere artistiche e i codici del genio toscano: un appuntamento importante per chiunque sia interessato a scoprire Leonardo da Vinci, come mai visto prima, nel cinquecentesimo anniversario della sua morte.; La mostra, che sarà ad ingresso gratuito, è realizzata dal Centro studi Leonardo3 di Milano grazie al sostegno di Provincia autonoma di Trento, Comune di Trento e MUSE - Museo delle Scienze.","http://www.trentotoday.it/eventi/mondo-leonardo-palazzo-albere-2019.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Palazzo%20delle%20Albere%3B%20Via%20Roberto%20da%20Sanseverino",,"22-11-2019","23-02-2020",,,,,,,
"Trento: sotto i Mercatini c'è la città romana","normale costo biglietto","Le vie del centro storico di Trento immerse nelle atmosfere del Mercatino di Natale nascondono un’altra città, la Tridentum fondata dai Romani più di duemila anni fa. Per conoscere questo luogo ricco di storia e suggestione i Servizi Educativi dell’Ufficio beni archeologici della Soprintendenza per i beni culturali propongono “Natale a Tridentum”, visite guidate gratuite e laboratori per famiglie. Il primo appuntamento, in programma venerdì 29 novembre, alle ore 15.30, prevede la visita al S.A.S.S. Spazio Archeologico Sotterraneo del Sas, sotto piazza Cesare Battisti, alla mostra “Ostriche e vino. In cucina con gli antichi romani” e alle aree archeologiche di Palazzo Lodron e Palazzo Roccabruna. L’iniziativa sarà ripetuta venerdì 6, 13, 20 e 27 dicembre. Sabato 7 dicembre alle ore 10 e alle 15, nell’ambito del Festival della Famiglia, al S.A.S.S. si terrà “Dadi, noci e astragali: giochi a Tridentum”, un laboratorio dedicato ai più piccoli per scoprire come giocavano i bambini dell'antica Roma che sarà riproposto anche sabato 21 e 28 dicembre alle ore 15. Informazioni e prenotazione tel. 0461 230171.","http://www.trentotoday.it/eventi/visite-citta-romana-mercatini.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Spazio%20Archeologico%20Sotterraneo%20del%20SAS%3B%20Piazza%20Cesare%20Battisti",,"29-11-2019","28-12-2019",,,,,,,
"Mart Open Day: ingresso gratuito","Gratis","Il Mart Open Day è da sempre un momento di festa e di condivisione. La prima domenica del mese con ingresso gratuito è un’occasione unica per partecipare a tante attività e sperimentare differenti modalità di visita al museo. Al naturale compito di conservazione e trasmissione del patrimonio culturale si è affiancato negli ultimi anni un ruolo sempre più importante dei musei come luoghi di aggregazione e di partecipazione, che rispettino l’inclusione e valorizzino il talento di tutti i cittadini. Al Mart, tra i programmi di lungo periodo portati avanti con continuità, spiccano i Progetti speciali, destinati a persone con disabilità e pensati per i visitatori la cui fruizione va mediata e sostenuta con particolare cura. Il Mart dedica l’Open Day di dicembre ai temi dell’inclusione e della valorizzazione delle diversità, anticipando la Giornata Internazionale delle Persone con Disabilità del 3 dicembre.; Nel programma dell’Open Day sono inseriti numerosi incontri. Dalle ore 10.00 alle ore 11.00 verrà presentata in Sala Conferenze la guida cartacea realizzata con la Comunicazione Aumentativa Alternativa, un linguaggio che favorisce l’accesso ad alcune opere delle Collezioni a un pubblico con bisogni complessi. Questa traduzione elimina le barriere culturali e fisiche e inserisce le persone con disabilità in un percorso di arricchimento personale. La guida è realizzata in collaborazione con le cooperative sociali Il Ponte e Iter nell’ambito del progetto Le vie dell’arte. La conferenza sarà tradotta in LIS a cura dell’Ente Nazionale Sordi di Trento.; Alle 11.30 nelle sale espositive si potrà assistere a un talk con i partecipanti dell’Inclusive Practice Workshop, un laboratorio di danza inclusiva di quattro giorni organizzato dal Centro internazionale della Danza e Oriente Occidente Dance Festival. Tenuto dal danzatore non vedente Giuseppe Comuniello, da Camilla Guarino e dalla britannica Stopgag Dance company, l’ultimo giorno di workshop vede i partecipanti svolgere le prove libere nelle sale del museo, con orario 10.00-12.00 e 14.00-16.00. Il talk delle 11.30, traduzione in LIS a cura di Ente Nazionale Sordi di Trento, sarà un momento di dialogo aperto con i danzatori e le danzatrici nell’ottica della condivisione e della piena inclusione delle persone con disabilità.; Inoltre, dalle 10.00 alle 17.00, l’Area educazione si trasformerà in uno spazio espositivo con presentazione al pubblico alle 14.30. Protagonisti i lavori realizzati durante i laboratori condotti al Mart con la cooperativa sociale Eliodoro di Riva del Garda. La cooperativa sociale Villa Maria, infine, si occuperà dell’accoglienza in sala per Les silences éternels de ces espaces infinis, concerto per pianoforte di Franco Venturini nell’ambito della rassegna Mart Music in collaborazione con l’Associazione Filarmonica di Rovereto.; La partecipazione alle attività è gratuita e senza prenotazione.","http://www.trentotoday.it/eventi/mart-gratis-domenica-1-dicembre.html",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Mart%20-%20Museo%20di%20Arte%20Moderna%20e%20Contemporanea%3B%20Corso%20Bettini%3B%20Rovereto",,"01-12-2019","01-12-2019","00:00:00","23:59:00",,,,,
"Cosmo cartoons","Biglietto compreso nel biglietto d'ingresso al museo",,"https://www.visittrentino.info/it/guida/eventi/cosmo-cartoons_e_10961816?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Trento",,"20-07-2019","14-06-2020",,,,,,,
